state_abbr,state_fips,place_fips,stpl_fips,city_name,metric_name,group_name,metric_number,group_number,num,denom,est,lci,uci,county_indicator,educ_indicator,multiplier_indicator,data_yr_type,geo_level,Date of export to MySQL database,version,NOTE - NCHS Disclaimer
NV,32,231900,3231900,Henderson,Absenteeism,total population,1,1,5249,29443,17.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
NY,36,601000,3601000,Albany,Absenteeism,total population,1,1,2274,7940,28.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
OH,39,901000,3901000,Akron,Absenteeism,total population,1,1,6117,22383,27.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
OK,40,9050,4009050,Broken Arrow,Absenteeism,total population,1,1,2477,17318,14.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
OR,41,105350,4105350,Beaverton,Absenteeism,total population,1,1,3838,20381,18.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
PA,42,202000,4202000,Allentown,Absenteeism,total population,1,1,1067,18056,5.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
RI,44,419180,4419180,Cranston,Absenteeism,total population,1,1,1674,8098,20.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
SC,45,513330,4513330,Charleston,Absenteeism,total population,1,1,278,7516,3.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
SD,46,652980,4652980,Rapid City,Absenteeism,total population,1,1,3726,11389,32.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
TN,47,714000,4714000,Chattanooga,Absenteeism,total population,1,1,1720,13933,12.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
TX,48,801000,4801000,Abilene,Absenteeism,total population,1,1,2617,20202,13,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
UT,49,943660,4943660,Layton,Absenteeism,total population,1,1,1295,9277,14,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
VA,51,101000,5101000,Alexandria,Absenteeism,total population,1,1,1818,11099,16.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
VT,50,10675,5010675,Burlington,Absenteeism,total population,1,1,236,2391,9.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
WA,53,303180,5303180,Auburn,Absenteeism,total population,1,1,4264,11866,35.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
WI,55,502375,5502375,Appleton,Absenteeism,total population,1,1,1266,11638,10.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
WV,54,414600,5414600,Charleston,Absenteeism,total population,1,1,1114,4328,25.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
WY,56,613900,5613900,Cheyenne,Absenteeism,total population,1,1,2232,11216,19.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
