state_abbr,state_fips,place_fips,stpl_fips,city_name,metric_name,group_name,metric_number,group_number,num,denom,est,lci,uci,county_indicator,educ_indicator,multiplier_indicator,data_yr_type,geo_level,Date of export to MySQL database,version,NOTE - NCHS Disclaimer
CT,9,18430,918430,Danbury,Absenteeism,female,1,2,592,3943,15,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CT,9,37000,937000,Hartford,Absenteeism,female,1,2,1721,5627,30.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CT,9,50370,950370,New Britain,Absenteeism,female,1,2,957,3917,24.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CT,9,52000,952000,New Haven,Absenteeism,female,1,2,1398,4722,29.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CT,9,55990,955990,Norwalk,Absenteeism,female,1,2,719,3944,18.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CT,9,73000,973000,Stamford,Absenteeism,female,1,2,1414,6878,20.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CT,9,80000,980000,Waterbury,Absenteeism,female,1,2,1649,5581,29.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
HI,15,3,15003,Honolulu,Absenteeism,male,1,3,4980,31200,16,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,7000,107000,Birmingham,Absenteeism,male,1,3,1089,5163,21.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,35896,135896,Hoover,Absenteeism,male,1,3,696,7499,9.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,37000,137000,Huntsville,Absenteeism,male,1,3,1166,4772,24.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,50000,150000,Mobile,Absenteeism,male,1,3,1353,7386,18.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,51000,151000,Montgomery,Absenteeism,male,1,3,1795,12508,14.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,77256,177256,Tuscaloosa,Absenteeism,male,1,3,517,3221,16.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AK,2,3000,203000,Anchorage,Absenteeism,male,1,3,4145,16541,25.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,4720,404720,Avondale,Absenteeism,male,1,3,1650,8238,20,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,12000,412000,Chandler,Absenteeism,male,1,3,2884,20619,14,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,27400,427400,Gilbert,Absenteeism,male,1,3,2948,22197,13.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,27820,427820,Glendale,Absenteeism,male,1,3,2817,18517,15.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,46000,446000,Mesa,Absenteeism,male,1,3,5415,33952,15.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,54050,454050,Peoria,Absenteeism,male,1,3,1062,9844,10.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,55000,455000,Phoenix,Absenteeism,male,1,3,20476,110485,18.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,65000,465000,Scottsdale,Absenteeism,male,1,3,1502,8743,17.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,71510,471510,Surprise,Absenteeism,male,1,3,1108,6617,16.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,73000,473000,Tempe,Absenteeism,male,1,3,1725,8963,19.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
